timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741524937816,910,HTTP Request1,200,OK,Thread Group 1-1,text,true,,4757,119,1,1,https://www.blazedemo.com/,902,0,554
1741524938729,198,HTTP Request2,200,OK,Thread Group 1-1,text,true,,4757,119,1,1,https://www.blazedemo.com/,191,0,0
1741524938928,244,HTTP Request3,200,OK,Thread Group 1-1,text,true,,4757,119,1,1,https://www.blazedemo.com/,237,0,0
1741524939173,314,HTTP Request4,200,OK,Thread Group 1-1,text,true,,4757,119,1,1,https://www.blazedemo.com/,307,0,0
1742381620194,871,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,5664,525,2,3,https://petstore.octoperf.com/actions/Catalog.action,871,0,718
1742381620149,871,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,5664,525,2,3,null,871,57,718
1742381620642,583,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,5664,525,3,4,https://petstore.octoperf.com/actions/Catalog.action,583,0,439
1742381620641,583,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,5664,525,3,4,null,583,1,439
1742381620682,592,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,,true,,5664,525,1,4,null,0,2,445
1742381620683,592,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,592,0,445
1742381621169,151,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4081,923,3,4,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1742381621077,151,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4081,923,3,4,null,151,93,0
1742381621317,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,3441,923,3,4,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381621225,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,3441,923,3,4,null,145,92,0
1742381621134,586,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,5664,525,4,6,https://petstore.octoperf.com/actions/Catalog.action,586,0,440
1742381621133,586,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,5664,525,4,6,null,586,1,440
1742381621754,147,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,923,4,6,https://petstore.octoperf.com/actions/Catalog.action,147,0,0
1742381621720,147,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,923,4,6,null,147,34,0
1742381621323,586,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,578,4,6,https://petstore.octoperf.com/actions/Catalog.action,585,0,440
1742381621321,586,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,578,4,6,null,585,2,440
1742381621463,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4986,578,4,6,https://petstore.octoperf.com/actions/Catalog.action,579,0,435
1742381621462,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,4986,578,4,6,null,579,1,435
1742381621919,146,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,3445,927,4,6,https://petstore.octoperf.com/actions/Catalog.action,146,0,0
1742381621909,146,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,3445,927,4,6,null,146,11,0
1742381621625,586,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,5664,525,5,7,https://petstore.octoperf.com/actions/Catalog.action,586,0,440
1742381621625,586,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,5664,525,5,7,null,586,1,440
1742381622120,143,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,3442,924,5,7,https://petstore.octoperf.com/actions/Catalog.action,143,0,0
1742381622042,143,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,3442,924,5,7,null,143,78,0
1742381621682,584,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,,true,,5664,525,2,7,null,0,0,439
1742381621682,584,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,text,true,,5664,525,2,7,https://petstore.octoperf.com/actions/Catalog.action,584,0,439
1742381622269,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4081,923,5,7,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381622212,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4081,923,5,7,null,145,58,0
1742381621902,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,4986,578,5,7,https://petstore.octoperf.com/actions/Catalog.action,579,0,436
1742381621901,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,4986,578,5,7,null,579,1,436
1742381622066,584,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4990,578,6,8,https://petstore.octoperf.com/actions/Catalog.action,584,0,439
1742381622066,584,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4990,578,6,8,null,584,1,439
1742381622519,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,923,6,8,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381622481,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,923,6,8,null,145,38,0
1742381622117,581,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,5664,525,6,9,https://petstore.octoperf.com/actions/Catalog.action,581,0,437
1742381622116,581,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,5664,525,6,9,null,581,2,437
